model_type,retrainer,exp_type,mean_f1,std_f1,median_f1,mean_dir_accuracy,retrains,signals_fired,cooldowns_hit,windows
rf,spy_msm_tau_1_0.83_tau_2_0.78_lb_6,spy_msm,0.4105,0.1017,0.4183,0.5178,16,29,32,83
rf,spy_msm_tau_1_0.8_tau_2_0.72_lb_6,spy_msm,0.4105,0.1017,0.4183,0.5178,16,29,32,83
rf,spy_msm_tau_1_0.8_tau_2_0.75_lb_6,spy_msm,0.4105,0.1017,0.4183,0.5178,16,29,32,83
rf,fixed_9,fixed,0.4097,0.1053,0.4048,0.5063,9,9,19,83
rf,perf_drop_0.15_lookback_3,perf,0.4032,0.1017,0.4183,0.5314,7,8,16,83
rf,perf_drop_0.1_lookback_4,perf,0.4021,0.0961,0.3934,0.4979,6,9,14,83
rf,perf_drop_0.1_lookback_6,perf,0.3944,0.0997,0.3876,0.5224,2,2,6,83
rf,causal_tau_1_0.83_tau_2_0.72_lb_3,causal,0.3936,0.1224,0.3778,0.4296,18,30,36,83
rf,causal_tau_1_0.83_tau_2_0.75_lb_3,causal,0.3936,0.1224,0.3778,0.4296,18,30,36,83
rf,causal_tau_1_0.83_tau_2_0.72_lb_4,causal,0.3918,0.1382,0.3718,0.4305,19,34,38,83
rf,causal_tau_1_0.83_tau_2_0.75_lb_4,causal,0.3918,0.1382,0.3718,0.4305,19,34,38,83
rf,causal_tau_1_0.83_tau_2_0.78_lb_4,causal,0.3918,0.1382,0.3718,0.4305,19,34,38,83
rf,causal_tau_1_0.8_tau_2_0.72_lb_4,causal,0.3918,0.1382,0.3718,0.4305,19,34,38,83
rf,causal_tau_1_0.8_tau_2_0.75_lb_4,causal,0.3918,0.1382,0.3718,0.4305,19,34,38,83
rf,random,random,0.3914,0.095,0.3926,0.492,6,6,14,83
rf,causal_tau_1_0.88_tau_2_0.78_lb_4,causal,0.3899,0.1177,0.3788,0.4588,19,37,38,83
rf,causal_tau_1_0.83_tau_2_0.72_lb_6,causal,0.3862,0.1159,0.3788,0.4514,18,36,38,83
rf,causal_tau_1_0.83_tau_2_0.75_lb_6,causal,0.3862,0.1159,0.3788,0.4514,18,36,38,83
rf,causal_tau_1_0.83_tau_2_0.78_lb_6,causal,0.3862,0.1159,0.3788,0.4514,18,36,38,83
rf,causal_tau_1_0.88_tau_2_0.72_lb_6,causal,0.3862,0.1159,0.3788,0.4514,18,36,38,83
rf,causal_tau_1_0.88_tau_2_0.75_lb_6,causal,0.3862,0.1159,0.3788,0.4514,18,36,38,83
rf,causal_tau_1_0.88_tau_2_0.78_lb_6,causal,0.3862,0.1159,0.3788,0.4514,18,36,38,83
