model_type,retrainer,exp_type,class,class_name,f1
lr,spy_msm_tau_1_0.88_tau_2_0.75_lb_3,spy_msm,0,down,0.5447
lr,spy_msm_tau_1_0.88_tau_2_0.75_lb_3,spy_msm,1,neutral,0.4826
lr,spy_msm_tau_1_0.88_tau_2_0.75_lb_3,spy_msm,2,up,0.5178
lr,spy_msm_tau_1_0.88_tau_2_0.75_lb_4,spy_msm,0,down,0.5416
lr,spy_msm_tau_1_0.88_tau_2_0.75_lb_4,spy_msm,1,neutral,0.4824
lr,spy_msm_tau_1_0.88_tau_2_0.75_lb_4,spy_msm,2,up,0.5236
lr,spy_msm_tau_1_0.88_tau_2_0.75_lb_6,spy_msm,0,down,0.5433
lr,spy_msm_tau_1_0.88_tau_2_0.75_lb_6,spy_msm,1,neutral,0.4812
lr,spy_msm_tau_1_0.88_tau_2_0.75_lb_6,spy_msm,2,up,0.5303
lr,spy_msm_tau_1_0.88_tau_2_0.78_lb_3,spy_msm,0,down,0.5434
lr,spy_msm_tau_1_0.88_tau_2_0.78_lb_3,spy_msm,1,neutral,0.4829
lr,spy_msm_tau_1_0.88_tau_2_0.78_lb_3,spy_msm,2,up,0.5217
lr,spy_msm_tau_1_0.88_tau_2_0.78_lb_4,spy_msm,0,down,0.5312
lr,spy_msm_tau_1_0.88_tau_2_0.78_lb_4,spy_msm,1,neutral,0.4793
lr,spy_msm_tau_1_0.88_tau_2_0.78_lb_4,spy_msm,2,up,0.5231
lr,spy_msm_tau_1_0.88_tau_2_0.78_lb_6,spy_msm,0,down,0.5433
lr,spy_msm_tau_1_0.88_tau_2_0.78_lb_6,spy_msm,1,neutral,0.4812
lr,spy_msm_tau_1_0.88_tau_2_0.78_lb_6,spy_msm,2,up,0.5303
lr,spy_msm_tau_1_0.8_tau_2_0.72_lb_3,spy_msm,0,down,0.5343
lr,spy_msm_tau_1_0.8_tau_2_0.72_lb_3,spy_msm,1,neutral,0.4706
lr,spy_msm_tau_1_0.8_tau_2_0.72_lb_3,spy_msm,2,up,0.5141
lr,spy_msm_tau_1_0.8_tau_2_0.72_lb_4,spy_msm,0,down,0.5343
lr,spy_msm_tau_1_0.8_tau_2_0.72_lb_4,spy_msm,1,neutral,0.477
lr,spy_msm_tau_1_0.8_tau_2_0.72_lb_4,spy_msm,2,up,0.5287
lr,spy_msm_tau_1_0.8_tau_2_0.72_lb_6,spy_msm,0,down,0.5348
lr,spy_msm_tau_1_0.8_tau_2_0.72_lb_6,spy_msm,1,neutral,0.4796
lr,spy_msm_tau_1_0.8_tau_2_0.72_lb_6,spy_msm,2,up,0.5255
lr,spy_msm_tau_1_0.8_tau_2_0.75_lb_3,spy_msm,0,down,0.5343
lr,spy_msm_tau_1_0.8_tau_2_0.75_lb_3,spy_msm,1,neutral,0.4706
lr,spy_msm_tau_1_0.8_tau_2_0.75_lb_3,spy_msm,2,up,0.5141
lr,spy_msm_tau_1_0.8_tau_2_0.75_lb_4,spy_msm,0,down,0.5343
lr,spy_msm_tau_1_0.8_tau_2_0.75_lb_4,spy_msm,1,neutral,0.477
lr,spy_msm_tau_1_0.8_tau_2_0.75_lb_4,spy_msm,2,up,0.5287
lr,spy_msm_tau_1_0.8_tau_2_0.75_lb_6,spy_msm,0,down,0.5348
lr,spy_msm_tau_1_0.8_tau_2_0.75_lb_6,spy_msm,1,neutral,0.4796
lr,spy_msm_tau_1_0.8_tau_2_0.75_lb_6,spy_msm,2,up,0.5255
lr,static,static,0,down,0.5243
lr,static,static,1,neutral,0.124
lr,static,static,2,up,0.5784
lr,timeout_msm_tau_1_0.83_tau_2_0.72_lb_3,timeout_msm,0,down,0.5447
lr,timeout_msm_tau_1_0.83_tau_2_0.72_lb_3,timeout_msm,1,neutral,0.4743
lr,timeout_msm_tau_1_0.83_tau_2_0.72_lb_3,timeout_msm,2,up,0.5182
lr,timeout_msm_tau_1_0.83_tau_2_0.72_lb_4,timeout_msm,0,down,0.5413
lr,timeout_msm_tau_1_0.83_tau_2_0.72_lb_4,timeout_msm,1,neutral,0.4735
lr,timeout_msm_tau_1_0.83_tau_2_0.72_lb_4,timeout_msm,2,up,0.5197
lr,timeout_msm_tau_1_0.83_tau_2_0.72_lb_6,timeout_msm,0,down,0.5344
lr,timeout_msm_tau_1_0.83_tau_2_0.72_lb_6,timeout_msm,1,neutral,0.4713
lr,timeout_msm_tau_1_0.83_tau_2_0.72_lb_6,timeout_msm,2,up,0.5186
lr,timeout_msm_tau_1_0.83_tau_2_0.75_lb_3,timeout_msm,0,down,0.5447
lr,timeout_msm_tau_1_0.83_tau_2_0.75_lb_3,timeout_msm,1,neutral,0.4743
lr,timeout_msm_tau_1_0.83_tau_2_0.75_lb_3,timeout_msm,2,up,0.5182
lr,timeout_msm_tau_1_0.83_tau_2_0.75_lb_4,timeout_msm,0,down,0.5413
lr,timeout_msm_tau_1_0.83_tau_2_0.75_lb_4,timeout_msm,1,neutral,0.4735
lr,timeout_msm_tau_1_0.83_tau_2_0.75_lb_4,timeout_msm,2,up,0.5197
lr,timeout_msm_tau_1_0.83_tau_2_0.75_lb_6,timeout_msm,0,down,0.5344
lr,timeout_msm_tau_1_0.83_tau_2_0.75_lb_6,timeout_msm,1,neutral,0.4713
lr,timeout_msm_tau_1_0.83_tau_2_0.75_lb_6,timeout_msm,2,up,0.5186
lr,timeout_msm_tau_1_0.83_tau_2_0.78_lb_3,timeout_msm,0,down,0.5387
lr,timeout_msm_tau_1_0.83_tau_2_0.78_lb_3,timeout_msm,1,neutral,0.4731
lr,timeout_msm_tau_1_0.83_tau_2_0.78_lb_3,timeout_msm,2,up,0.5186
lr,timeout_msm_tau_1_0.83_tau_2_0.78_lb_4,timeout_msm,0,down,0.5413
lr,timeout_msm_tau_1_0.83_tau_2_0.78_lb_4,timeout_msm,1,neutral,0.4735
lr,timeout_msm_tau_1_0.83_tau_2_0.78_lb_4,timeout_msm,2,up,0.5197
lr,timeout_msm_tau_1_0.83_tau_2_0.78_lb_6,timeout_msm,0,down,0.5344
lr,timeout_msm_tau_1_0.83_tau_2_0.78_lb_6,timeout_msm,1,neutral,0.4713
lr,timeout_msm_tau_1_0.83_tau_2_0.78_lb_6,timeout_msm,2,up,0.5186
lr,timeout_msm_tau_1_0.88_tau_2_0.72_lb_3,timeout_msm,0,down,0.5464
lr,timeout_msm_tau_1_0.88_tau_2_0.72_lb_3,timeout_msm,1,neutral,0.4758
lr,timeout_msm_tau_1_0.88_tau_2_0.72_lb_3,timeout_msm,2,up,0.5228
lr,timeout_msm_tau_1_0.88_tau_2_0.72_lb_4,timeout_msm,0,down,0.5477
